country,days_since_outbreak,household_contacts,total_contacts,times_left_home,handwashes,masks_outside,majority_life_impacted
Sweden,268,4.7,26.9,2.1,10.8,9.2,1
Sweden,299,1.9,19.4,1.9,12,8.7,1
Sweden,329,2.6,14.3,1.7,12.4,16.3,1
Sweden,360,2.3,12.7,1.6,12.1,25.5,1
Sweden,391,2.5,15.7,1.8,11.1,29.7,1
Sweden,419,3.2,16.2,1.7,12.8,34.2,1
Sweden,450,3.1,15.5,1.9,11.4,37.4,1
Sweden,480,1.8,17.1,2,14.2,34.6,1
Taiwan,85,2.9,12,1.8,6.5,83.6,0
Taiwan,115,2.9,13.3,1.9,5.7,82.7,0
Taiwan,146,3.6,21,2.1,5.9,83.1,0
Taiwan,176,3.5,22.2,2.1,5.9,81.2,0
Taiwan,207,3.5,25.4,2.1,5.7,84.2,0
Taiwan,238,3,23.8,2.1,5.8,86.6,0
Thailand,85,4.2,4.6,1.9,9.2,94.8,0
Thailand,115,4.6,5.4,2.2,8.9,93.6,0
Thailand,146,4.2,6.1,2.2,7.7,93.6,1
Thailand,176,4.6,8.2,2.5,6.8,95.2,1
Thailand,207,4.6,7.8,2.7,7,90.4,1
Thailand,238,5.2,10.1,2.6,6.1,91.7,1
United Arab Emirates,85,10,12.1,3.4,16.7,78.7,0
United Arab Emirates,115,3.7,7.2,1.4,13.4,91.8,0
United Arab Emirates,146,3.2,8.1,1.5,12.6,94,1
United Arab Emirates,176,3.3,10.3,2,11.5,94.9,1
United Arab Emirates,207,3.8,9.6,2.1,12.8,94.9,1
United Arab Emirates,238,4.8,9.8,2,11.2,93.5,1
United Kingdom,85,2.2,4,1,10.6,13.4,0
United Kingdom,115,1.9,5.6,0.9,11.7,20.7,0
United Kingdom,146,2.1,5.8,1,11.6,29.5,1
United Kingdom,176,2,9,1.1,12.2,48.1,1
United Kingdom,207,2.1,13.8,1.2,12.1,76.5,1
United Kingdom,238,2.1,15.5,1.3,12.4,79.5,1
United Kingdom,268,2.4,13.5,1.2,12.4,83.1,1
United Kingdom,299,1.5,9.5,1.1,13.5,82.8,1
United Kingdom,329,2.2,10.3,1,10.2,82.9,1
United Kingdom,360,1.6,5.5,0.9,11.7,79.1,1
United Kingdom,391,2.7,7,1,11.7,81,1
United Kingdom,419,1.6,8.7,1,10.8,79.3,1
United Kingdom,450,1.6,9.4,1.2,11.6,81,1
United Kingdom,480,1.7,14.2,1.2,10.3,81.9,1
United States,85,2.8,8.2,1.1,12.7,44,0
United States,115,2.5,9.9,1.2,10.4,72.8,0
United States,146,2.9,14.9,1.4,9.4,73.9,1
United States,176,4.1,14.6,1.6,10.9,79.3,1
United States,207,3.5,15,1.5,10.6,84.4,1
United States,238,3.3,15.3,1.6,10,83.6,1
United States,391,3.2,18.8,2.2,9.1,83.7,1
United States,419,2.4,16.2,1.9,11.5,80.7,0
United States,450,3.4,19.2,1.8,8.9,80.3,0
United States,480,2.8,21,2,9.3,78.1,0
Vietnam,85,4.1,15,2,10.5,94.3,0
Vietnam,115,4.3,29.9,3,8.7,91.7,0
Vietnam,146,5.9,36.7,3.3,8.7,91.6,1
Vietnam,176,5.5,33.1,3.5,7.8,91,1
Vietnam,207,6.4,26.7,2.6,9.3,94.6,1
Vietnam,238,6.1,31.6,3.4,7.3,93.9,1
